player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal,medal_score
75289,Ezio Gamba,M,Italy,ITA,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Gold,3
75290,Ezio Gamba,M,Italy,ITA,1984,Summer,Los Angeles,Judo,Judo Men's Lightweight,Silver,2
75296,Anabel Erdozain,F,Argentina,ARG,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Silver,2
75302,Raffaello Gambino,M,Italy,ITA,1952,Summer,Helsinki,Water Polo,Water Polo Men's Water Polo,Bronze,1
75305,Clarence Gamble,M,United States-4,USA,1904,Summer,St. Louis,Tennis,Tennis Men's Doubles,Bronze,1
75314,Yuriorkis Toledano,M,Cuba,CUB,2004,Summer,Athina,Boxing,Boxing Men's Flyweight,Gold,3
75323,Michael Gambrill,M,Great Britain,GBR,1956,Summer,Melbourne,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,1
75353,Mohamad Gammoudi,M,Tunisia,TUN,1964,Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",Silver,2
75354,Mohamad Gammoudi,M,Tunisia,TUN,1968,Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",Gold,3
75355,Mohamad Gammoudi,M,Tunisia,TUN,1968,Summer,Mexico City,Athletics,"Athletics Men's 10,000 metres",Bronze,1
75356,Mohamad Gammoudi,M,Tunisia,TUN,1972,Summer,Munich,Athletics,"Athletics Men's 5,000 metres",Silver,2
75363,Yekaterina Gamova,F,Russia,RUS,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Silver,2
75364,Yekaterina Gamova,F,Russia,RUS,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Silver,2
75369,Dzhavid Gamzatov,M,Belarus,BLR,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,1
75382,Henri Gance,M,France,FRA,1920,Summer,Antwerpen,Weightlifting,Weightlifting Men's Middleweight,Gold,3
75398,Georges Gandil,M,France,FRA,1948,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,1
75399,Georges Gandil,M,France,FRA,1948,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Bronze,1
75401,Johannes Gandil,M,Denmark,DEN,1908,Summer,London,Football,Football Men's Football,Silver,2
75402,Carlo Gandini,M,Italy,ITA,1906,Summer,Athina,Fencing,"Fencing Men's epee, Masters, Individual",Silver,2
75403,Franco Gandini,M,Italy,ITA,1956,Summer,Melbourne,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,3
75412,Annapia Gandolfi,F,Italy,ITA,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Team",Silver,2
75413,Ferdinando Gandolfi,M,Italy,ITA,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Gold,3
75425,Laurent Gan,M,France,FRA,2000,Summer,Sydney,Cycling,Cycling Men's Team Sprint,Gold,3
75428,Laurent Gan,M,France,FRA,2004,Summer,Athina,Cycling,Cycling Men's Team Sprint,Bronze,1
75443,Marat Ganeyev,M,Soviet Union,URS,1988,Summer,Seoul,Cycling,Cycling Men's Points Race,Bronze,1
75445,Renal Ganeyev,M,Russia,RUS,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Team",Bronze,1
75462,Gang Cho-hyeon,F,South Korea,KOR,2000,Summer,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver,2
75471,Gang Geon-uk,M,South Korea,KOR,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Silver,2
75484,Gang Hui-chan,M,South Korea-1,KOR,1992,Summer,Barcelona,Table Tennis,Table Tennis Men's Doubles,Bronze,1
75496,Gang Jae-won,M,South Korea,KOR,1988,Summer,Seoul,Handball,Handball Men's Handball,Silver,2
75502,Gang Jun-ho,M,South Korea,KOR,1952,Summer,Helsinki,Boxing,Boxing Men's Bantamweight,Bronze,1
75513,Gang Min-ho,M,South Korea,KOR,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Gold,3
75543,Franois Gangloff,M,France,FRA,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,Silver,2
75550,Franois Gangloff,M,France,FRA,1924,Summer,Paris,Gymnastics,Gymnastics Men's Side Horse,Silver,2
75552,Mark Gangloff,M,United States,USA,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,3
75554,Mark Gangloff,M,United States,USA,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,3
75583,Diana (sachse-),F,East Germany,GDR,1988,Summer,Seoul,Athletics,Athletics Women's Discus Throw,Silver,2
75584,Paulo Lima,M,Brazil,BRA,2012,Summer,London,Football,Football Men's Football,Silver,2
75587,Burkhard Gantenbein,M,Switzerland,SUI,1936,Summer,Berlin,Handball,Handball Men's Handball,Bronze,1
75608,Louis Gantois,M,France,FRA,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,1
75620,Frank Ganzera,M,East Germany,GDR,1972,Summer,Munich,Football,Football Men's Football,Bronze,1
75633,Gao E,F,China,CHN,2000,Summer,Sydney,Shooting,Shooting Women's Trap,Bronze,1
75636,Gao E,F,China,CHN,2004,Summer,Athina,Shooting,Shooting Women's Double Trap,Bronze,1
75638,Gao Feng,F,China,CHN,2004,Summer,Athina,Judo,Judo Women's Extra-Lightweight,Bronze,1
75643,Gao Hong,F,China,CHN,1996,Summer,Atlanta,Football,Football Women's Football,Silver,2
75647,Gao Jing,F,China,CHN,2000,Summer,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze,1
75648,Jun (-chang),F,China-1,CHN,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Doubles,Silver,2
75655,Gao Lei,M,China,CHN,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Men's Individual,Bronze,1
75657,Gao Lihua,F,China,CHN,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Silver,2
75661,Gao Ling,F,China-2,CHN,2000,Summer,Sydney,Badminton,Badminton Mixed Doubles,Gold,3
75662,Gao Ling,F,China-1,CHN,2000,Summer,Sydney,Badminton,Badminton Women's Doubles,Bronze,1
75663,Gao Ling,F,China-2,CHN,2004,Summer,Athina,Badminton,Badminton Mixed Doubles,Gold,3
75664,Gao Ling,F,China,CHN,2004,Summer,Athina,Badminton,Badminton Women's Doubles,Silver,2
75667,Gao Min,F,China,CHN,1988,Summer,Seoul,Diving,Diving Women's Springboard,Gold,3
75668,Gao Min,F,China,CHN,1992,Summer,Barcelona,Diving,Diving Women's Springboard,Gold,3
75685,Gao Xiumin,F,China,CHN,1984,Summer,Los Angeles,Handball,Handball Women's Handball,Bronze,1
75694,Gao Yulan,F,China,CHN,2008,Summer,Beijing,Rowing,Rowing Women's Coxless Pairs,Silver,2
75704,Brigitte Gapais-dumont,F,France,FRA,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",Silver,2
75705,Emma Gapchenko,F,Soviet Union,URS,1972,Summer,Munich,Archery,Archery Women's Individual,Bronze,1
75710,Rubn Arenas,M,Spain,ESP,2008,Summer,Beijing,Handball,Handball Men's Handball,Bronze,1
